slug,dialect_name,area_name,group,rule_dialect,inherit_conf,vocab_sources,vocab_fallback
hiroshima,広島弁,広島県,中国・四国,広島,own,広島弁|山陽方言,
okayama,岡山方言,岡山県,中国・四国,広島,high,岡山弁,
yamaguchi,山口方言,山口県,中国・四国,広島,high,山口弁,
tottori,鳥取方言,鳥取県,中国・四国,広島,high,因州弁|西伯耆方言,
shimane,島根方言,島根県,中国・四国,広島,high,雲伯方言|東山陰方言|山陰方言,
ehime,愛媛方言,愛媛県,中国・四国,広島,high,,hiroshima|okayama
kagawa,香川方言,香川県,中国・四国,関西,medium,,okayama|hiroshima
tokushima,徳島方言,徳島県,中国・四国,関西,medium,,kansai|okayama
kochi,高知方言,高知県,中国・四国,広島,low,土佐|幡多弁,
shikoku,四国弁,四国地方,中国・四国,広島,low,,ehime|kagawa|kochi
nagoya,名古屋弁,愛知県名古屋市,東海・中部,名古屋,own,名古屋弁,
mikawa,三河弁,愛知県三河地方,東海・中部,三河,own,三河弁|やらまいか,nagoya
aichi,愛知方言,愛知県,東海・中部,名古屋,high,,nagoya|mikawa
gifu,岐阜弁,岐阜県,東海・中部,名古屋,high,美濃弁,
owari,尾張弁,愛知県尾張地方,東海・中部,名古屋,high,,nagoya
tokai,東海地方方言,東海地方,東海・中部,名古屋,medium,,nagoya|gifu
shizuoka,静岡方言,静岡県,東海・中部,名古屋,medium,静岡弁|遠州弁,
nagano,長野方言,長野県,東海・中部,名古屋,medium,上伊那地域の方言|長野,
yamanashi,山梨方言,山梨県,東海・中部,名古屋,medium,甲州弁,
niigata,新潟方言,新潟県,東海・中部,仙台,medium,長岡弁|佐渡弁|越後方言,
toyama,富山方言,富山県,東海・中部,関西,medium,魚津弁|富山弁,
ishikawa,石川方言,石川県,東海・中部,関西,medium,金沢弁|白峰弁,
fukui,福井方言,福井県,東海・中部,関西,medium,福井弁,
hokuriku,北陸弁,北陸地方,東海・中部,関西,medium,,toyama|ishikawa|fukui
tokyo,東京方言,東京都,関東,,none,多摩弁,kanagawa|saitama
kanagawa,神奈川方言,神奈川県,関東,,none,神奈川県方言,
saitama,埼玉方言,埼玉県,関東,,none,埼玉弁|秩父弁|武州弁,
chiba,千葉方言,千葉県,関東,,none,房州弁,
ibaraki,茨城方言,茨城県,関東,,none,茨城弁,
tochigi,栃木方言,栃木県,関東,,none,,ibaraki|gunma|saitama
gunma,群馬方言,群馬県,関東,,none,群馬弁,saitama|tochigi
kanto,関東弁,関東地方,関東,,none,関東|関東/東北,saitama|chiba|kanagawa
tsugaru,津軽弁,青森県津軽地方,東北・北海道,津軽,own,津軽弁|津軽,
aomori,青森方言,青森県,東北・北海道,津軽,high,下北弁,tsugaru|nanbu
nanbu,南部弁,青森県南部・岩手県北部,東北・北海道,津軽,low,岩手県南部方言,tsugaru|iwate
akita,秋田弁,秋田県,東北・北海道,秋田,own,秋田弁|秋田弁の文法,
miyagi,宮城方言,宮城県,東北・北海道,仙台,own,仙台弁|仙台弁こけし,
iwate,岩手方言,岩手県,東北・北海道,仙台,low,ケセン語,nanbu|miyagi
fukushima,福島方言,福島県,東北・北海道,仙台,high,,miyagi|yamagata
yamagata,山形方言,山形県,東北・北海道,仙台,high,庄内方言,
tohoku,東北弁,東北地方,東北・北海道,仙台,high,東北|北海道/東北,miyagi|akita
hokkaido,北海道の方言,北海道,東北・北海道,仙台,medium,北海道|北海道/津軽,tohoku|miyagi
