dialect,order,type,pattern,replace,note,confidence
京都,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
京都,10,copula,ではありません,やおへん,,medium
京都,11,copula,ではない,やない,,high
京都,12,copula,でしょう,どっしゃろ,「どしょー」とは言わない,medium
京都,13,copula,だろう,やろ,,high
京都,14,copula,だから,やさかい,,high
京都,15,copula,だけど,やけど,,high
京都,16,copula,だ$,や,断定,high
京都,17,copula,です$,どす,伝統形。現在は高齢層・芸妓など限られた場面。ベタ度高い,medium
京都,30,negation,しない,しーひん,「しやへん」「せーへん」も。若年層は「しーひん」,medium
京都,31,negation,来ない,きーひん,,medium
京都,32,negation,見ない,みーひん,,medium
京都,33,negation,できない,でけへん,,high
京都,34,negation,([かがさたなばまら])ない,\1へん,五段はア段＋へん（京都。大阪は「エ段＋へん」）,high
京都,35,negation,([えけげせてねべめれ])ない,\1へん,下一段,high
京都,40,aspect,ている,てる,,high
京都,41,aspect,ておく,とく,,high
京都,42,aspect,てしまう,てまう,,high
京都,50,particle,から,さかい,原因・理由。※起点用法の「から」に誤爆する既知の問題,medium
京都,51,particle,ので,さかい,,high
京都,52,particle,けれど,けど,,high
京都,53,particle,よ$,え,告知の終助詞,medium
京都,60,lexical,早く,はよう,形容詞連用形ウ音便,high
京都,61,lexical,暑く,あつう,同上,high
京都,62,lexical,長く,なごう,同上,high
京都,63,lexical,ありがとう,おおきに,,high
京都,64,lexical,いらっしゃい,おいでやす,,high
京都,65,lexical,とても,えらい,,medium
京都,66,lexical,違う,ちゃう,,high
京都,67,lexical,良い,よろしい,,medium
京都,68,lexical,意地悪,いけず,,high
京都,69,lexical,いくら,なんぼ,,high
京都,80,lexical,疲れた,しんどい,,medium
京都,81,lexical,捨てる,ほかす,,high
仙台,1,protect,しかない,,〜しかない は動詞否定ではない,high
仙台,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
仙台,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
仙台,4,protect,仕方ない,,同上,high
仙台,5,protect,間違いない,,同上,high
仙台,6,protect,少ない,,形容詞,high
仙台,7,protect,危ない,,形容詞,high
仙台,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
仙台,10,copula,だろう,だべ,推量・意志・確認・勧誘すべて「べ」,high
仙台,11,copula,でしょう,だべ,,high
仙台,12,copula,だ$,だ,断定は共通語と同じ,high
仙台,13,copula,だよ,だっちゃ,相手が知っているはずの事柄の確認,high
仙台,20,negation,([かがさたなばまら])ない,\1ね,東北広域 ない→ね,high
仙台,21,negation,しない,しね,,high
仙台,22,negation,来ない,こね,,high
仙台,23,negation,なければならない,なきゃない,仙台出身者が方言と気付きにくい表現,high
仙台,30,aspect,ている,でる,,medium
仙台,40,particle,を,ば,格助詞。「どご」も,high
仙台,41,particle,へ行く,さ行く,方向の「さ」,high
仙台,42,particle,に行く,さ行く,,high
仙台,43,particle,けれど,けんども,県北部。県南部は「げんとも」,high
仙台,50,lexical,とても,いきなり,東北広域,medium
仙台,51,lexical,疲れた,こわい,標準語と意味が違う,high
仙台,52,lexical,捨てる,なげる,,high
仙台,53,lexical,あなた,おめ,,medium
博多,1,protect,しかない,,〜しかない は動詞否定ではない,high
博多,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
博多,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
博多,4,protect,仕方ない,,同上,high
博多,5,protect,間違いない,,同上,high
博多,6,protect,少ない,,形容詞,high
博多,7,protect,危ない,,形容詞,high
博多,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
博多,10,copula,ではない,やない,,high
博多,11,copula,だろう,やろ,,high
博多,12,copula,だ$,たい,断定・詠嘆。「〜と」は疑問/準体助詞なので別,high
博多,13,copula,だから,やけん,,high
博多,14,copula,だけど,ばってん,逆接,high
博多,15,copula,けれど,ばってん,,high
博多,20,negation,([かがさたなばまら])ない,\1ん,五段の否定は「ん」,high
博多,21,negation,しない,せん,,high
博多,22,negation,来ない,こん,,high
博多,23,negation,できない,できん,,high
博多,30,aspect,ている,とう,進行。「〜しとう」,high
博多,31,aspect,ておく,とく,,high
博多,32,aspect,てしまう,てしまう,,medium
博多,40,particle,から$,けん,順接の接続助詞,high
博多,41,particle,ので$,けん,,high
博多,42,particle,ですよ,ばい,断定・詠嘆の終助詞,high
博多,43,particle,だよ,ばい,,high
博多,44,particle,ですか,と?,疑問の終助詞「と」,high
博多,45,particle,から,けん,文中も可。※順接以外の「から」（起点）に誤爆する既知の問題,medium
博多,50,lexical,とても,ばり,,high
博多,51,lexical,すごく,ばり,,high
博多,52,lexical,うるさい,せからしか,,high
博多,53,lexical,捨てる,なげる,,medium
博多,54,lexical,疲れた,きつか,,medium
博多,55,lexical,良い,よか,形容詞語尾 い→か,high
博多,56,lexical,いい,よか,,high
博多,57,lexical,寒い,さむか,,high
博多,58,lexical,暑い,あつか,,high
博多,59,lexical,ありがとう,ありがとう,博多に固有形なし。標準語のまま,high
名古屋,1,protect,しかない,,〜しかない は動詞否定ではない,high
名古屋,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
名古屋,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
名古屋,4,protect,仕方ない,,同上,high
名古屋,5,protect,間違いない,,同上,high
名古屋,6,protect,少ない,,形容詞,high
名古屋,7,protect,危ない,,形容詞,high
名古屋,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
名古屋,10,copula,ではない,じゃない,,high
名古屋,11,copula,だろう,だら,,medium
名古屋,12,copula,だ$,だ,断定はそのまま,high
名古屋,13,copula,だから,だもんで,,high
名古屋,14,copula,ので$,もんで,,high
名古屋,15,copula,けれど,けど,,high
名古屋,20,negation,([かがさたなばまら])ない,\1ん,,high
名古屋,21,negation,しない,せん,,high
名古屋,22,negation,来ない,こん,,high
名古屋,30,aspect,ている,とる,,high
名古屋,31,aspect,ておく,とく,,high
名古屋,40,particle,ね$,ね,,high
名古屋,41,particle,よ$,がや,終助詞「がや」,medium
名古屋,42,particle,でしょう,でしょ,,high
名古屋,50,lexical,とても,どえらい,,high
名古屋,51,lexical,すごく,どえらい,,high
名古屋,53,lexical,疲れた,えらい,「えらい」＝疲れた（重要・標準語と意味が違う）,high
名古屋,54,lexical,仲間はずれ,はみご,,high
名古屋,55,lexical,自転車,ケッタ,,high
名古屋,56,lexical,捨てる,ほかる,,high
名古屋,57,lexical,机を運ぶ,机をつる,「つる」＝運ぶ,high
名古屋,58,lexical,ありがとう,ありがとさん,,medium
名古屋,59,lexical,違う,ちがう,,low
大阪,1,protect,しかない,,〜しかない は動詞否定ではない,high
大阪,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
大阪,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
大阪,4,protect,仕方ない,,同上,high
大阪,5,protect,間違いない,,同上,high
大阪,6,protect,少ない,,形容詞,high
大阪,7,protect,危ない,,形容詞,high
大阪,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
大阪,10,copula,ではありません,やあらしまへん,,medium
大阪,11,copula,ではない,やない,,high
大阪,12,copula,じゃない,やん,,high
大阪,13,copula,でしょう,やろ,,high
大阪,14,copula,だろう,やろ,,high
大阪,15,copula,だから,やから,,high
大阪,16,copula,だけど,やけど,,high
大阪,17,copula,なのだ,なんや,,high
大阪,18,copula,だ$,や,断定 だ→や,high
大阪,19,copula,です$,や,年配層は「だす」。ベタ度高いので既定は「や」,medium
大阪,25,negation,しない,せーへん,サ変,high
大阪,26,negation,来ない,けーへん,カ変,high
大阪,27,negation,できない,でけへん,,high
大阪,28,negation,見ない,めーへん,上一段。若年層は「みーひん」,medium
大阪,30,negation,かない,けへん,五段はエ段＋へん（大阪の特徴。京都は「ア段＋へん」）,high
大阪,30,negation,がない,げへん,五段はエ段＋へん（大阪の特徴。京都は「ア段＋へん」）,high
大阪,30,negation,さない,せへん,五段はエ段＋へん（大阪の特徴。京都は「ア段＋へん」）,high
大阪,30,negation,たない,てへん,五段はエ段＋へん（大阪の特徴。京都は「ア段＋へん」）,high
大阪,30,negation,なない,ねへん,五段はエ段＋へん（大阪の特徴。京都は「ア段＋へん」）,high
大阪,30,negation,ばない,べへん,五段はエ段＋へん（大阪の特徴。京都は「ア段＋へん」）,high
大阪,30,negation,まない,めへん,五段はエ段＋へん（大阪の特徴。京都は「ア段＋へん」）,high
大阪,30,negation,らない,れへん,五段はエ段＋へん（大阪の特徴。京都は「ア段＋へん」）,high
大阪,30,negation,わない,えへん,五段はエ段＋へん（大阪の特徴。京都は「ア段＋へん」）,high
大阪,40,negation,なければならない,なあかん,,high
大阪,41,negation,なくてはいけない,なあかん,,high
大阪,50,aspect,ている,てる,,high
大阪,51,aspect,ておく,とく,,high
大阪,52,aspect,てしまう,てまう,,high
大阪,53,aspect,てしまった,てもうた,,high
大阪,60,particle,ますか,まっか,丁寧体＋終助詞で促音化。伝統的大阪弁,medium
大阪,61,particle,ますよ,まっせ,同上,medium
大阪,62,particle,ますね,まんな,同上。使いすぎ注意,low
大阪,63,particle,けれど,けど,,high
大阪,64,particle,ですね,やね,,high
大阪,70,lexical,とても,めっちゃ,,high
大阪,71,lexical,すごく,めっちゃ,,high
大阪,72,lexical,本当に,ほんまに,,high
大阪,73,lexical,本当,ほんま,,high
大阪,74,lexical,違う,ちゃう,,high
大阪,75,lexical,駄目,あかん,,high
大阪,76,lexical,だめ,あかん,,high
大阪,77,lexical,いけない,あかん,,high
大阪,78,lexical,面白い,おもろい,,high
大阪,79,lexical,疲れた,しんどい,,medium
大阪,80,lexical,良い,ええ,,high
大阪,81,lexical,いい,ええ,,high
大阪,82,lexical,ありがとう,おおきに,,medium
大阪,83,lexical,いくら,なんぼ,,high
大阪,84,lexical,どうして,なんで,,high
大阪,85,lexical,なぜ,なんで,,high
大阪,86,lexical,捨てる,ほかす,,high
大阪,87,lexical,馬鹿,あほ,,high
大阪,88,lexical,ばか,あほ,,high
広島,1,protect,しかない,,〜しかない は動詞否定ではない,high
広島,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
広島,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
広島,4,protect,仕方ない,,同上,high
広島,5,protect,間違いない,,同上,high
広島,6,protect,少ない,,形容詞,high
広島,7,protect,危ない,,形容詞,high
広島,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
広島,10,copula,ではない,じゃない,,high
広島,11,copula,だろう,じゃろう,,high
広島,12,copula,だ$,じゃ,断定 だ→じゃ,high
広島,13,copula,だから,じゃけえ,,high
広島,14,copula,だけど,じゃけど,,high
広島,15,copula,けれど,けど,,high
広島,20,negation,([かがさたなばまら])ない,\1ん,,high
広島,21,negation,しない,せん,,high
広島,22,negation,来ない,こん,,high
広島,30,aspect,ている,とる,進行,high
広島,31,aspect,ておく,ちょく,,medium
広島,32,aspect,てしまう,てしもう,,medium
広島,40,particle,から$,けえ,順接,high
広島,41,particle,ので$,けえ,,high
広島,42,particle,ね$,のう,終助詞,high
広島,43,particle,よ$,で,,medium
広島,45,particle,から,けえ,同上,medium
広島,50,lexical,とても,ぶち,,high
広島,51,lexical,すごく,ぶち,,high
広島,52,lexical,面倒くさい,たいぎい,,high
広島,53,lexical,疲れた,たいぎい,,medium
広島,54,lexical,捨てる,ほる,,medium
広島,56,lexical,ありがとう,ありがとの,,medium
広島,57,lexical,違う,ちがう,,low
沖縄,1,protect,しかない,,〜しかない は動詞否定ではない,high
沖縄,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
沖縄,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
沖縄,4,protect,仕方ない,,同上,high
沖縄,5,protect,間違いない,,同上,high
沖縄,6,protect,少ない,,形容詞,high
沖縄,7,protect,危ない,,形容詞,high
沖縄,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
沖縄,10,copula,でしょう,だはず,ウチナーヤマトグチ。沖縄語そのものではない,high
沖縄,11,copula,だろう,だはず,,high
沖縄,12,copula,だよ,だはずよー,,high
沖縄,13,copula,だ$,さー,終助詞的な「さー」,medium
沖縄,20,negation,([かがさたなばまら])ない,\1ん,,medium
沖縄,21,negation,しないで,さんけー,「シワサンケー」=くよくよするな,high
沖縄,30,aspect,ている,ている,ウチナーヤマトグチの文法は標準語とほぼ同一（Wikipedia）。アスペクトは変換しない,high
沖縄,40,particle,ね$,さー,,high
沖縄,50,lexical,とても,でーじ,,high
沖縄,51,lexical,すごく,でーじ,,high
沖縄,52,lexical,ありがとう,にふぇーでーびる,最も丁寧。日常は標準語のままも多い,medium
沖縄,53,lexical,こんにちは,はいさい,男性。女性は「はいたい」,high
沖縄,54,lexical,頑張れ,ちばりよー,,high
沖縄,55,lexical,頑張る,ちばる,,high
沖縄,56,lexical,逃げる,ひんぎる,,high
沖縄,57,lexical,びっくりする,どぅまんぎる,,high
沖縄,58,lexical,殴る,すぐる,,high
沖縄,59,lexical,心配する,しわする,,high
沖縄,60,lexical,女,いなぐ,,high
沖縄,61,lexical,男,いきが,,high
沖縄,62,lexical,ぼうっとする,とぅるばる,,high
沖縄,63,lexical,怒る,ちれる,「チレル」=キレる,high
沖縄,80,lexical,疲れた,ちかりた,,medium
津軽,1,protect,しかない,,〜しかない は動詞否定ではない,high
津軽,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
津軽,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
津軽,4,protect,仕方ない,,同上,high
津軽,5,protect,間違いない,,同上,high
津軽,6,protect,少ない,,形容詞,high
津軽,7,protect,危ない,,形容詞,high
津軽,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
津軽,10,copula,だろう,べ,意志・勧誘・推量はすべて「べ」,high
津軽,11,copula,でしょう,べ,,high
津軽,12,copula,だ$,だ,断定は共通語と同じ,high
津軽,20,negation,しない,しねぁ,サ変,high
津軽,21,negation,来ない,こねぁ,,medium
津軽,22,negation,ない$,ねぁ,否定・形容詞ともに ai→æ 融合,high
津軽,30,aspect,ている,でら,継続相。若年層は「ちゅ／じゅ」,high
津軽,31,aspect,ていた,てあった,完了,medium
津軽,40,particle,から$,はんで,原因・理由,high
津軽,41,particle,ので$,はんで,,high
津軽,50,phonology,行く,行ぐ,語中・語末のカ行タ行が濁音化,high
津軽,51,phonology,書く,書ぐ,,high
津軽,52,phonology,起きる,おぎる,,high
津軽,53,phonology,開ける,あげる,,high
津軽,54,phonology,赤い,あげぁ,連母音 ai→æ,high
津軽,60,lexical,とても,たんげ,,high
津軽,61,lexical,疲れた,こわい,東北広域。標準語と意味が違う,high
津軽,62,lexical,捨てる,なげる,,high
津軽,63,lexical,だめ,わい,,low
秋田,1,protect,しかない,,〜しかない は動詞否定ではない,high
秋田,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
秋田,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
秋田,4,protect,仕方ない,,同上,high
秋田,5,protect,間違いない,,同上,high
秋田,6,protect,少ない,,形容詞,high
秋田,7,protect,危ない,,形容詞,high
秋田,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
